word,meaning,synonym,antonym
Abate,"{'Verb': ['make less active or intense', 'become less in amount or intensity']}","['decrease', 'diminish', 'let up', 'die away', 'slack', 'slack off', 'lessen', 'fall']","['increase', 'crescendo', 'expand', 'inflate', 'lengthen']"
Abstract,"{'Noun': ['a concept or idea not associated with any specific instance', 'a sketchy summary of the main points of an argument or theory'], 'Verb': ['consider a concept without thinking of a specific example; consider abstractly or theoretically', 'make off with belongings of others', 'consider apart from a particular case or instance', 'give an abstract (of'], 'Adjective': ['existing only in the mind; separated from embodiment', 'not representing or imitating external reality or the objects of nature', 'dealing with a subject in the abstract without practical purpose or intention']}","['reckon', 'regard', 'view', 'consider', 'see']","['enable', 'corporeality', 'materiality', 'material', 'identifiable']"
Abysmal,"{'Adjective': ['very great; limitless', 'resembling an abyss in depth; so deep as to be unmeasurable']}","['unmeasurable', 'immeasurable', 'immensurable', 'unmeasured']","['measurable', 'fathomable', 'explicable', 'natural elevation', 'high']"
Accordingly,"{'Adverb': ['(sentence connectors', 'in accordance with']}",['consequently'],
Acquisition,"{'Noun': ['the act of contracting or assuming or acquiring possession of something', 'something acquired', 'the cognitive process of acquiring skill or knowledge', 'an ability that has been acquired by training']}","['heritage', 'taking over', 'restoration', 'procurement', 'acceptance', 'buyout', 'procurance', 'succession', 'regaining', 'moneymaking', 'inheritance', 'pork-barreling', 'annexation', 'restitution', 'procural', 'acquiring', 'incurring', 'getting', 'assumption', 'laying claim', 'purchase', 'return']","['decline', 'natural object', 'rejection', 'disapproval', 'unpermissiveness']"
Adapt,"{'Verb': ['make fit for, or change to suit a new purpose', 'adapt or conform oneself to new or different conditions']}","['tailor', 'naturalise', 'anglicize', 'anglicise', 'vary', 'alter', 'fit', 'naturalize', 'transcribe', 'gear', 'pitch', 'tame', 'orient', 'Christianize', 'accommodate', 'cultivate', 'shoehorn', 'wire', 'change', 'adjust', 'electrify', 'domesticate']","['emigrate', 'diversify', 'take in', 'let out', 'conform']"
Adept,"{'Noun': ['someone who is dazzlingly skilled in any field'], 'Adjective': ['having or showing knowledge and skill and aptitude']}","['practiced', 'skilful', 'skillful', 'expert', 'good', 'proficient', 'skilled']","['unskilled', 'minor', 'lack', 'natural', 'inferior']"
Adequate,"{'Adjective': ['having the requisite qualities or resources to meet a task', 'sufficient for the purpose', 'about average; acceptable']}","['competent', 'adequateness', 'equal', 'adequate to', 'capable', 'up to', 'equal to', 'adequacy', 'satisfactory']","['inadequate', 'inadequacy', 'unsatisfactory', 'inefficient', 'incompetent']"
Advent,"{'Noun': ['arrival that has been awaited (especially of something momentous', 'the season including the four Sundays preceding Christmas', '(Christian theology']}","['arrival', 'reaching', 'coming']","['disappearance', 'past', 'present']"
Adversarial,,,
Advocate,"{'Noun': ['a person who pleads for a cause or propounds an idea', 'a lawyer who pleads cases in court'], 'Verb': ['push for something', 'speak, plead, or argue in favor of']}","['suggest', 'urge', 'propose', 'advise', 'recommend']","['adult', 'female', 'loser', 'juvenile', 'bad person']"
Aesthetic,"{'Noun': ['(philosophy'], 'Adjective': ['relating to or dealing with the subject of aesthetics', 'concerning or characterized by an appreciation of beauty or good taste', 'aesthetically pleasing']}",['esthetic'],"['unartistic', 'inartistic']"
Afford,"{'Verb': ['be able to spare or give up', 'be the cause or source of', 'have the financial means to do something or buy something', 'afford access to']}","['spend', 'drop', 'expend']","['borrow', 'deny', 'withdraw', 'take']"
Agitate,"{'Verb': ['try to stir up public opinion', 'cause to be agitated, excited, or roused', 'exert oneself continuously, vigorously, or obtrusively to gain an end or engage in a crusade for a certain cause or person; be an advocate for', 'move very slightly', 'move or cause to move back and forth', 'change the arrangement or position of']}","['stimulate', 'provoke', 'stir up', 'foment', 'rumpus']","['enter', 'converge', 'rush', 'hop out', 'pull']"
